country,budget,budget,worlwide_gross_income,worlwide_gross_income,profit,profit,profit_ratio,n_movies
,max,mean,max,mean,max,mean,,
"USA, UK, France, Hungary, Germany",65,65,236,236,171,171,2.63,1
"USA, Germany, Mexico",95,95,250,250,155,155,1.63,1
"Argentina, Spain, Brazil",1,1,1,1,0,0,0.2,1
"USA, UK, South Africa, Germany, France",25,25,0,0,-25,-25,-0.98,1
"USA, UK, Spain, South Korea",20,20,35,35,15,15,0.79,1
"USA, UK, Taiwan, Japan, Mexico, Italy",46,46,24,24,-22,-22,-0.48,1
"Argentina, Spain, Germany",11,11,1,1,-10,-10,-0.91,1
"USA, United Arab Emirates, Czech Republic, Russia, India, Canada",145,145,695,695,550,550,3.79,1
"USA, United Arab Emirates, Poland, India",30,30,20,20,-10,-10,-0.32,1
"USA, United Arab Emirates, UK",15,15,58,58,43,43,2.85,1
"USA, West Germany, UK",40,40,12,12,-28,-28,-0.69,1
"Aruba, Hong Kong, USA",35,35,10,10,-25,-25,-0.71,1
"USA, Yugoslavia, Hong Kong",19,19,28,28,9,9,0.5,1
"Argentina, Italy, Netherlands, Spain",1,1,1,1,0,0,-0.1,1
"United Arab Emirates, USA, Switzerland",30,30,3,3,-27,-27,-0.9,1
"Uruguay, Argentina, Germany",1,1,0,0,-1,-1,-0.91,1
"Uruguay, Argentina, Germany, Spain",0,0,1,1,0,0,0.27,1
"Venezuela, Spain",50,50,5,5,-45,-45,-0.9,1
West Germany,27,27,20,20,-7,-7,-0.25,1
"USA, UK, New Zealand",65,65,94,94,29,29,0.44,1
"USA, UK, Mexico, Switzerland",70,70,130,130,60,60,0.86,1
"USA, UK, Malta, Morocco",103,103,461,461,358,358,3.47,1
"USA, UK, Malta",190,190,540,540,350,350,1.84,1
"USA, UK, Germany, Hungary",22,22,96,96,74,74,3.35,1
"USA, UK, Germany, Japan, France",75,75,31,31,-44,-44,-0.59,1
"USA, UK, Germany, Netherlands, France, Italy, Morocco, Thailand",155,155,167,167,12,12,0.08,1
"USA, UK, Germany, Romania",15,15,6,6,-9,-9,-0.58,1
"USA, UK, Hungary",100,100,249,249,149,149,1.49,1
"USA, UK, Hungary, Canada, Spain",150,150,261,261,111,111,0.74,1
"USA, UK, Hungary, Israel",20,20,46,46,26,26,1.28,1
"USA, UK, India",23,23,19,19,-4,-4,-0.15,1
"Argentina, USA",0,0,0,0,0,0,0.82,1
"USA, UK, Isle Of Man",10,10,1,1,-9,-9,-0.95,1
"Argentina, Spain, Norway, France",2,2,3,3,1,1,0.51,1
"USA, UK, Italy, Japan",7,7,14,14,7,7,0.99,1
"Argentina, Spain, Italy",3,3,3,3,0,0,0.16,1
"USA, UK, Japan, Germany",115,115,275,275,160,160,1.39,1
"USA, UK, Japan, Hungary",175,175,152,152,-23,-23,-0.13,1
"USA, Romania, Germany",35,35,77,77,42,42,1.21,1
"USA, Romania, France, Italy, Germany",5,5,3,3,-2,-2,-0.48,1
"USA, Poland, Slovenia, Czech Republic, UK",225,225,420,420,195,195,0.87,1
"USA, Hungary, UK",15,15,13,13,-2,-2,-0.11,1
"USA, Hong Kong, China, Canada, Denmark, Germany, UK",135,135,246,246,111,111,0.82,1
"USA, Hong Kong, Japan, Mexico, Canada, New Zealand",100,100,142,142,42,42,0.42,1
"USA, Hong Kong, Mexico, Taiwan",10,10,17,17,7,7,0.7,1
